run,society,distinct_trades,evenness
16,bigtree_basic_seed222,20,0.98
30,bigtree_basic_seed236,20,0.98
17,bigtree_basic_seed223,18,0.96
21,bigtree_basic_seed227,18,0.98
9,bigtree_alwayson_seed215,17,0.97
13,bigtree_basic_seed219,17,0.97
5,bigtree_alwayson_seed211,16,0.97
7,bigtree_alwayson_seed213,15,0.96
8,bigtree_alwayson_seed214,15,0.92
25,bigtree_basic_seed231,15,0.97
26,bigtree_basic_seed232,15,0.95
19,bigtree_basic_seed225,14,0.93
28,bigtree_basic_seed234,14,0.96
29,bigtree_basic_seed235,14,0.94
10,bigtree_basic_seed216,13,0.94
12,bigtree_basic_seed218,13,0.93
18,bigtree_basic_seed224,11,0.91
